id,athlete_id,games_id,event_id,coach_id,medal_id,result_value,result_unit,is_record_holder,notes
38,38,22,35,18,2,138.611,seconds,No,-
39,39,17,20,7,1,181.286,points,No,Youngest competitor
40,40,23,36,3,1,168.011,seconds,No,Youngest competitor
41,41,9,37,20,4,586.242,seconds,No,Oldest medalist
42,42,10,38,22,4,9.245,points,No,Youngest competitor
43,43,3,39,18,1,61.358,points,No,First from country
44,44,24,40,14,1,88.028,seconds,No,Technical violation
45,45,16,27,9,1,25.868,points,No,Oldest medalist
46,46,12,41,23,1,10.944,points,No,Record broken next day
47,47,17,23,11,3,240.412,points,No,Olympic Debut
48,48,22,42,17,1,211.65,seconds,No,Record broken next day
49,49,11,43,23,1,85.826,points,No,Youngest competitor
50,50,14,44,10,1,15.213,points,World Record,Oldest medalist
51,51,25,45,6,1,6.339,points,No,-
52,52,1,12,18,1,3.662,points,No,-
53,53,25,46,13,2,8.091,goals,No,-
54,54,18,4,7,1,4989.945,seconds,No,Equipment issue
55,55,7,47,8,1,578.253,seconds,No,Olympic Debut
56,56,1,46,20,1,6.223,goals,No,-
57,57,26,48,5,2,141.686,metres,No,-
58,58,25,49,14,4,235.181,points,No,Personal Best
59,59,18,28,8,1,4608.397,seconds,No,-
60,60,4,50,1,1,462.306,seconds,No,Oldest medalist
61,61,13,13,1,1,341.899,kg,No,Olympic Debut
62,62,12,51,24,1,251.528,points,Olympic Record,National Record
63,63,12,52,23,1,9.716,points,No,Olympic Debut
64,64,27,53,18,1,49.929,seconds,No,Weather-affected
65,65,20,54,22,2,2085.602,seconds,No,-
66,66,13,55,12,1,4.107,points,No,-
67,67,28,56,17,4,83.616,points,No,-
68,68,9,57,4,3,246.91,points,Olympic Record,Disqualified (false start)
69,69,23,58,25,1,9.57,points,No,Olympic Debut
70,70,27,59,26,4,348.832,seconds,No,-
71,71,29,60,25,1,194.84,seconds,No,National Record
72,72,30,61,26,1,54.127,seconds,No,-
73,73,15,27,14,1,11.3,points,No,Final Appearance
74,74,3,62,23,1,2821.255,seconds,No,Personal Best
75,75,31,63,14,3,225.963,seconds,No,Disqualified (false start)
76,76,32,31,6,4,237.012,seconds,No,First from country
77,77,28,64,15,3,155.446,seconds,No,Oldest medalist
78,78,33,65,24,1,49.613,seconds,No,-
79,79,33,18,6,1,1644.611,seconds,No,Olympic Debut
80,80,14,66,27,3,5327.836,seconds,No,-
81,81,9,52,10,1,3.283,points,World Record,National Record
82,82,2,67,18,1,7331.754,seconds,Olympic Record,Oldest medalist
83,83,16,68,11,1,13.606,points,No,-
84,84,26,69,24,1,1573.639,seconds,No,Disqualified (false start)
85,85,15,45,25,4,9.608,points,No,Season Best
86,86,25,70,22,1,355.807,kg,No,Season Best
87,87,25,71,2,1,12.442,points,No,Olympic Debut
88,88,19,19,12,2,583.456,seconds,No,Comeback after injury
89,89,9,70,22,1,302.908,kg,No,Comeback after injury
90,90,11,58,23,1,5.95,points,No,Final Appearance
91,91,19,72,6,1,9.527,ippon,No,National Record
92,92,14,73,24,1,519.69,seconds,No,Personal Best
93,93,1,74,1,1,4.655,points,No,Season Best
94,94,7,6,26,1,19.041,points,No,Olympic Debut
95,95,7,28,6,1,5555.954,seconds,No,Photo-finish silver
96,96,5,75,23,1,704.13,seconds,No,Season Best
97,97,32,76,23,1,9.539,goals,No,Final Appearance
98,98,10,30,17,1,5.657,sets,No,-
99,99,10,77,27,1,11.1,touches,No,-
100,100,33,78,16,1,234.889,points,No,Season Best
101,101,9,46,9,1,3.698,goals,No,Weather-affected
102,102,4,79,1,1,5.066,points,No,National Record
103,103,17,80,9,1,599.274,seconds,No,-
104,104,1,18,18,3,259.27,points,No,National Record
105,105,9,81,26,1,295.707,points,No,-
106,106,33,39,11,1,84.078,points,No,-
107,107,34,82,16,1,11.448,goals,No,-
108,108,16,83,19,1,116.272,seconds,No,Photo-finish silver
109,109,7,71,3,1,38.151,points,No,-
110,110,6,17,10,1,7.309,points,No,Weather-affected
111,111,12,84,16,1,743.065,seconds,No,-
112,112,20,85,6,1,134.263,metres,No,Oldest medalist
113,113,11,86,14,1,84.581,seconds,Olympic Record,Season Best
114,114,35,11,12,1,109.23,seconds,No,Record broken next day
115,115,16,87,4,1,484.97,points,No,-
116,116,34,85,4,1,105.247,metres,No,-
117,117,13,88,4,1,5.315,points,No,Weather-affected
118,118,14,89,20,4,99.097,seconds,No,Oldest medalist
119,119,19,90,3,3,3.88,points,No,Record broken next day
120,120,12,91,2,1,283.219,points,No,-
121,121,9,92,14,1,958.427,seconds,No,Photo-finish silver
122,122,24,93,15,1,60.844,points,No,Comeback after injury
123,123,19,28,27,4,3813.237,seconds,World Record,National Record
124,124,34,94,27,1,74.436,points,No,Record broken next day
125,125,14,95,13,1,949.181,seconds,No,-
126,126,32,96,17,1,4491.841,seconds,No,Youngest competitor
127,127,25,72,23,2,1.047,ippon,No,Equipment issue
128,128,6,90,17,2,2.541,points,No,National Record
129,129,10,97,9,1,523.933,points,No,-
130,130,35,43,19,1,88.678,points,No,Weather-affected
131,131,35,60,3,1,193.63,seconds,No,-
132,132,25,21,10,1,6.928,ippon,No,First from country
133,133,7,98,21,1,254.253,kg,No,-
134,134,36,82,5,1,3.545,goals,No,Olympic Debut
135,135,15,44,28,2,5.903,points,No,-
136,136,13,99,3,1,5.73,points,No,Oldest medalist
137,137,30,20,14,1,128.213,seconds,No,First from country
138,138,37,76,17,1,4.48,goals,No,Youngest competitor
139,139,10,46,7,1,0.804,goals,No,Photo-finish silver
140,140,14,29,22,1,4.33,goals,No,-
141,141,11,100,21,1,83.811,points,No,Oldest medalist
142,142,15,101,22,1,504.9,seconds,No,Comeback after injury
143,143,10,28,9,1,4082.175,seconds,No,Final Appearance
144,144,2,102,20,1,360.128,seconds,No,Record broken next day
145,145,18,103,2,1,103.292,seconds,No,-
146,146,10,29,25,3,14.935,goals,No,Weather-affected
147,147,18,104,9,3,16.92,points,No,-
148,148,24,42,11,4,121.482,seconds,No,Final Appearance
149,149,5,71,17,1,35.098,points,No,Comeback after injury
150,150,36,30,10,1,92.922,seconds,Olympic Record,Technical violation
151,151,30,100,5,1,71.196,points,No,Personal Best
152,152,1,105,6,1,345.616,kg,No,National Record
153,153,27,106,6,1,224.789,seconds,No,-
154,154,5,21,5,4,8.264,ippon,No,Equipment issue
155,155,7,107,23,2,134.301,kg,Olympic Record,First from country
156,156,6,41,21,1,13.927,points,No,First from country
157,157,13,108,18,1,470.15,kg,No,Withdrew - injury
158,158,6,109,19,1,396.936,points,No,-
159,159,5,110,9,1,5252.935,seconds,No,Weather-affected
160,160,18,8,2,3,327.688,seconds,No,Comeback after injury
161,161,7,111,12,1,189.132,points,No,Weather-affected
162,162,18,101,3,1,488.29,seconds,No,First from country
163,163,38,106,24,4,212.244,seconds,No,-
164,164,8,82,2,1,3.541,goals,No,Photo-finish silver
165,165,5,66,4,1,5196.59,seconds,No,First from country
166,166,6,110,21,1,6701.884,seconds,No,Technical violation
167,167,20,78,2,1,295.872,points,No,Weather-affected
168,168,7,32,22,3,3.912,ippon,Olympic Record,-
169,169,19,17,2,1,30.967,points,No,-
170,170,2,112,20,4,5810.874,seconds,No,Final Appearance
171,171,39,28,7,1,1964.647,seconds,No,Season Best
172,172,17,26,28,1,203.084,points,No,National Record
173,173,21,113,3,1,1622.767,seconds,No,Youngest competitor
174,174,25,73,3,1,427.63,seconds,No,Olympic Debut
175,175,14,114,15,1,367.868,seconds,No,Oldest medalist
176,176,26,115,2,2,5.258,points,No,-
177,177,37,35,19,1,195.769,seconds,No,Season Best
178,178,3,30,7,1,126.993,seconds,No,-
179,179,22,116,19,1,82.435,metres,No,-
180,180,32,76,11,1,8.354,goals,No,Technical violation
181,181,16,46,6,4,7.729,goals,No,-
182,182,30,34,7,1,299.789,seconds,No,Technical violation
183,183,8,117,12,4,947.538,seconds,No,Withdrew - injury
184,184,25,4,8,1,7274.693,seconds,No,First from country
185,185,17,96,4,1,6207.056,seconds,No,Equipment issue
186,186,26,118,17,1,159.314,seconds,No,-
187,187,10,119,19,1,12.815,points,No,-
188,188,4,120,11,4,524.119,seconds,No,-
189,189,7,121,19,1,442.496,kg,No,Record broken next day
190,190,19,122,25,1,1.792,ippon,No,Youngest competitor
191,191,34,76,23,1,2.986,goals,No,Weather-affected
192,192,5,29,23,1,5.141,goals,No,Withdrew - injury
193,193,13,104,18,1,14.38,points,No,-
194,194,10,123,28,1,194.056,seconds,No,-
195,195,10,4,1,1,5587.955,seconds,No,Youngest competitor
196,196,6,12,25,1,11.13,points,No,Technical violation
197,197,31,115,11,1,9.34,points,Olympic Record,Final Appearance
198,198,15,6,10,4,16.956,points,No,Disqualified (false start)
199,199,6,124,8,1,475.939,seconds,No,Oldest medalist
200,200,5,125,17,4,13.556,points,No,Final Appearance
201,201,1,92,17,3,3383.349,seconds,No,Technical violation
202,202,7,55,14,1,8.433,points,No,-
203,203,13,126,18,1,11.023,touches,No,-
204,204,1,127,3,3,247.245,points,No,Oldest medalist
205,205,4,128,22,2,3.766,sets,No,Photo-finish silver
206,206,21,129,8,1,224.572,seconds,No,-
207,207,31,130,4,1,245.604,seconds,No,-
208,208,19,1,15,1,372.736,seconds,Olympic Record,Disqualified (false start)
209,209,25,12,10,1,8.858,points,No,-
210,210,4,131,25,1,13.182,points,No,-
211,211,37,132,15,3,171.781,seconds,No,Personal Best
212,212,17,133,10,1,3505.373,seconds,No,-
213,213,12,6,26,1,5.22,points,No,Technical violation
214,214,1,97,28,3,317.379,points,No,Disqualified (false start)
215,215,25,134,27,4,20.506,seconds,No,Equipment issue
216,216,10,98,21,1,152.133,kg,No,-
217,217,15,135,6,1,408.87,kg,No,-
218,218,16,17,8,3,41.142,points,No,-
219,219,33,65,4,1,336.943,seconds,No,Comeback after injury
220,220,25,29,27,1,12.115,goals,No,Personal Best
221,221,2,136,15,1,284.804,seconds,No,Final Appearance
222,222,16,20,18,1,5.994,sets,No,Final Appearance
223,223,30,137,23,1,818.226,seconds,No,Season Best
224,224,19,18,25,1,246.194,points,No,Equipment issue
225,225,10,19,14,1,338.299,seconds,No,Personal Best
226,226,33,130,3,2,236.385,seconds,No,-
227,227,25,104,22,2,17.916,points,No,-
228,228,13,138,16,4,640.41,seconds,No,-
229,229,17,67,18,4,3331.056,seconds,No,Olympic Debut
230,230,7,25,23,1,5.339,points,No,-
231,231,12,139,10,1,2.5,points,No,Record broken next day
232,232,20,140,15,1,104.064,metres,No,Weather-affected
233,233,23,141,7,1,1572.531,seconds,No,National Record
234,234,7,17,7,1,12.011,points,No,Withdrew - injury
235,235,14,142,16,1,9.205,points,No,-
236,236,13,105,13,4,307.183,kg,No,Weather-affected
237,237,22,143,25,1,1655.79,seconds,Olympic Record,Technical violation
238,238,19,9,15,1,261.212,points,No,Disqualified (false start)
239,239,7,3,7,4,5.779,sets,No,-
240,240,18,144,2,1,14.366,points,No,Season Best
241,241,20,129,15,1,115.107,seconds,No,Photo-finish silver
242,242,20,145,10,1,3191.219,seconds,No,Technical violation
243,243,30,146,21,1,108.557,seconds,No,Withdrew - injury
244,244,7,73,22,1,581.189,seconds,No,-
245,245,19,72,17,1,4.796,ippon,No,National Record
246,246,6,88,11,1,5.053,points,No,Personal Best
247,247,4,46,5,2,1.559,goals,No,-
248,248,31,3,2,1,235.708,points,No,Equipment issue
249,249,33,31,15,1,132.837,seconds,No,Final Appearance
250,250,1,147,2,1,8.675,touches,No,Youngest competitor
251,251,2,82,6,1,10.242,goals,No,Olympic Debut
252,252,35,115,5,3,5.823,points,World Record,Final Appearance
253,253,7,83,3,1,30.237,seconds,No,Equipment issue
254,254,24,3,21,1,208.151,points,No,-
255,255,16,47,21,4,549.395,seconds,World Record,-
256,256,23,35,20,1,129.526,seconds,No,Technical violation
257,257,11,136,2,1,234.28,seconds,No,Comeback after injury
258,258,39,148,7,1,198.189,seconds,No,-
259,259,35,137,21,4,135.705,seconds,No,Final Appearance
260,260,18,149,25,1,1.118,ippon,No,Photo-finish silver
261,261,7,150,28,1,2.943,points,No,-
262,262,9,18,28,1,282.153,points,No,Disqualified (false start)
263,263,9,151,22,1,7.533,ippon,No,-
264,264,12,152,24,1,244.129,points,Olympic Record,-
265,265,13,4,16,1,7087.951,seconds,No,Record broken next day
266,266,21,153,25,3,180.208,seconds,No,-
267,267,25,154,14,1,123.632,seconds,No,-
268,268,3,106,3,1,351.958,seconds,No,Photo-finish silver
269,269,29,76,14,1,4.18,goals,No,-
270,270,19,75,9,1,101.58,seconds,No,-
271,271,18,44,16,1,15.346,points,No,Final Appearance
272,272,12,155,6,3,359.246,seconds,No,-
273,273,2,20,27,4,210.043,points,No,Personal Best
274,274,38,156,5,3,8090.002,seconds,No,-
275,275,28,78,11,1,247.444,points,No,Final Appearance
276,276,4,157,8,3,11.716,touches,No,Youngest competitor
277,277,7,126,19,1,2.113,touches,No,-
278,278,23,35,3,4,150.044,seconds,No,National Record
279,279,13,32,16,1,3.816,ippon,No,-
280,280,9,158,26,1,13.37,points,No,Disqualified (false start)
281,281,31,146,7,2,107.746,seconds,No,Disqualified (false start)
282,282,37,159,17,1,4.992,points,No,-
283,283,35,160,26,1,165.522,seconds,No,Weather-affected
284,284,5,32,14,1,4.691,ippon,No,Personal Best
285,285,13,87,21,2,354.455,points,No,Olympic Debut
286,286,21,140,5,1,129.299,metres,No,Weather-affected
287,287,33,35,4,1,91.652,seconds,No,Equipment issue
288,288,33,161,8,1,7226.145,seconds,No,Season Best
289,289,20,54,7,1,2993.673,seconds,No,Disqualified (false start)
290,290,15,3,12,1,3.605,sets,No,Record broken next day
291,291,14,162,6,1,130.717,seconds,No,-
292,292,23,24,26,1,327.782,seconds,No,-
293,293,19,163,1,1,701.372,seconds,No,-
294,294,1,164,15,1,437.011,seconds,No,-
295,295,17,7,10,1,163.092,seconds,No,Weather-affected
296,296,6,87,25,3,496.637,points,No,-
297,297,35,42,20,1,171.728,seconds,No,Technical violation
298,298,6,9,18,1,267.675,points,No,Comeback after injury
299,299,9,46,17,1,8.219,goals,No,National Record
300,300,27,137,17,4,3208.451,seconds,No,National Record
301,301,25,10,26,4,2.166,points,No,Withdrew - injury
302,302,25,51,21,1,243.24,points,No,Comeback after injury
303,303,1,123,19,1,3211.624,seconds,No,Withdrew - injury
304,304,20,20,1,2,304.827,points,No,-
305,305,35,30,23,4,110.447,seconds,No,Season Best
306,306,10,165,16,1,12.398,points,No,-
307,307,25,108,1,1,233.116,kg,No,-
308,308,4,77,19,1,12.92,touches,No,-
309,309,16,28,21,2,4287.075,seconds,No,Record broken next day
310,310,6,25,28,4,6.78,points,No,Season Best
311,311,7,99,17,1,12.22,points,No,-
312,312,28,102,12,1,264.857,seconds,No,-
313,313,4,166,6,1,406.08,points,No,Equipment issue
314,314,1,20,28,1,3.83,sets,No,-
315,315,16,149,15,1,4.497,ippon,No,Equipment issue
316,316,7,72,22,2,1.93,ippon,No,-
317,317,19,16,20,1,352.845,seconds,No,Photo-finish silver
318,318,30,146,4,2,103.534,seconds,No,National Record
319,319,31,115,21,1,5.818,points,No,Withdrew - injury
320,320,4,167,10,1,61.203,seconds,No,-
321,321,38,159,6,2,2.895,points,Olympic Record,Olympic Debut
322,322,35,159,24,4,7.336,points,No,Withdrew - injury
323,323,10,158,25,4,12.6,points,No,-
324,324,21,26,27,1,244.156,points,No,-
325,325,10,158,13,3,15.882,points,No,Technical violation
326,326,29,115,8,1,8.093,points,No,Equipment issue
327,327,35,168,4,2,2321.946,seconds,No,Technical violation
328,328,15,169,16,3,452.959,seconds,No,Withdrew - injury
329,329,26,170,25,2,5492.178,seconds,No,-
330,330,10,104,22,1,13.182,points,No,Final Appearance
331,331,12,171,3,1,210.863,seconds,No,Final Appearance
332,332,31,172,7,1,5697.277,seconds,No,-
333,333,12,105,12,1,456.285,kg,No,Comeback after injury
334,334,5,66,22,1,7206.085,seconds,No,-
335,335,19,51,12,1,163.498,points,No,-
336,336,7,173,3,1,3.071,points,No,-
337,337,16,162,4,1,342.882,seconds,No,Photo-finish silver
338,338,17,31,2,1,166.777,seconds,No,Weather-affected
339,339,6,174,26,1,9.802,ippon,No,-
340,340,9,104,6,1,22.636,points,No,-
341,341,19,71,14,1,19.296,points,No,-
342,342,10,128,23,1,5.717,sets,No,First from country
343,343,4,41,16,1,22.7,points,No,Youngest competitor
344,344,33,48,18,3,116.128,metres,No,Final Appearance
345,345,6,128,25,1,2.501,sets,No,Photo-finish silver
346,346,25,175,20,3,568.403,seconds,No,-
347,347,15,176,25,1,371.692,seconds,No,National Record
348,348,27,177,23,1,43.314,seconds,No,Photo-finish silver
349,349,36,85,6,1,140.022,metres,No,-
350,350,33,106,28,4,486.267,seconds,No,National Record
351,351,19,163,14,1,729.523,seconds,No,Withdrew - injury
352,352,6,128,3,1,3.891,sets,World Record,-
353,353,16,178,8,1,3.12,sets,No,Olympic Debut
354,354,22,60,24,1,270.127,seconds,No,Oldest medalist
355,355,9,81,1,1,247.153,points,No,-
356,356,4,90,10,2,3.375,points,No,-
357,357,20,76,5,2,1.195,goals,Olympic Record,Photo-finish silver
358,358,6,179,10,1,495.002,seconds,No,-
359,359,19,114,8,1,851.734,seconds,No,Final Appearance
360,360,4,180,6,1,9.637,touches,No,Record broken next day
361,361,1,181,9,1,5304.719,seconds,No,Technical violation
362,362,10,77,4,1,10.743,touches,No,First from country
363,363,36,3,10,1,186.317,points,No,National Record
364,364,16,182,5,1,196.982,points,No,-
365,365,9,183,24,1,9.076,touches,No,-
366,366,26,58,11,2,11.023,points,No,Youngest competitor
367,367,18,4,3,2,5203.673,seconds,No,Disqualified (false start)
368,368,6,4,23,1,3841.61,seconds,No,-
369,369,12,38,22,1,8.26,points,No,-
370,370,39,3,28,4,246.025,points,No,Record broken next day
371,371,8,146,9,1,152.984,seconds,No,Equipment issue
372,372,31,23,27,1,203.536,points,No,Oldest medalist
373,373,29,102,14,1,239.559,seconds,No,-
374,374,17,24,13,1,101.725,seconds,No,-
375,375,18,29,22,4,13.146,goals,No,Technical violation
376,376,1,184,1,3,910.462,seconds,No,-
377,377,17,30,27,1,158.46,seconds,No,Youngest competitor
378,378,1,44,15,2,33.338,points,No,National Record
379,379,9,185,27,3,4.569,points,Olympic Record,Equipment issue
380,380,9,99,8,2,12.025,points,No,Weather-affected
381,381,10,101,27,1,183.402,seconds,No,-
382,382,34,58,13,1,2.987,points,No,Equipment issue
383,383,10,182,7,1,161.668,points,No,National Record
384,384,23,58,10,1,9.817,points,No,Season Best
385,385,9,98,20,2,358.923,kg,No,Youngest competitor
386,386,13,186,8,1,12.354,touches,No,-
387,387,3,3,12,1,93.66,seconds,No,Weather-affected
388,388,9,187,7,1,454.949,points,No,Olympic Debut
389,389,21,58,16,1,3.059,points,No,-
390,390,18,19,1,3,504.698,seconds,No,-
391,391,31,82,10,1,5.229,goals,No,-
392,392,5,3,24,1,2.007,sets,No,First from country
393,393,15,188,24,1,10884.359,seconds,No,Photo-finish silver
394,394,4,9,6,1,281.851,points,Olympic Record,-
395,395,7,30,10,1,4.366,sets,No,Photo-finish silver
396,396,10,104,7,4,10.868,points,No,Comeback after injury
397,397,15,189,2,2,271.173,seconds,Olympic Record,Equipment issue
398,398,18,17,6,1,41.439,points,No,-
399,399,28,11,15,1,103.058,seconds,No,Comeback after injury
400,400,20,140,18,1,85.511,metres,No,Disqualified (false start)
401,401,32,190,3,1,154.445,seconds,No,-
402,402,23,36,27,1,148.096,seconds,No,Personal Best
403,403,13,191,16,1,138.14,seconds,No,Personal Best
404,404,36,159,18,1,6.681,points,No,Comeback after injury
405,405,22,115,22,1,9.567,points,No,Photo-finish silver
406,406,17,86,27,1,117.226,seconds,Olympic Record,-
407,407,22,177,21,2,184.663,seconds,No,Weather-affected
408,408,14,12,18,1,11.08,points,No,Final Appearance
409,409,29,53,11,1,341.196,seconds,No,Disqualified (false start)
410,410,10,192,2,1,38.526,seconds,No,Disqualified (false start)
411,411,16,193,15,1,828.21,seconds,No,National Record
412,412,5,194,28,2,531.192,seconds,No,Record broken next day
413,413,12,71,7,4,27.125,points,Olympic Record,Youngest competitor
414,414,13,195,2,1,286.973,points,No,Disqualified (false start)
415,415,9,196,17,1,459.254,points,No,Comeback after injury
416,416,10,182,13,1,246.611,points,No,Record broken next day
417,417,29,33,27,1,1409.414,seconds,World Record,Youngest competitor
418,418,30,197,7,1,84.558,points,No,Olympic Debut
419,419,20,58,23,1,3.433,points,No,Season Best
420,420,7,4,27,1,6154.267,seconds,No,National Record
421,421,4,29,4,4,14.146,goals,Olympic Record,Youngest competitor
422,422,26,85,16,3,137.206,metres,No,Technical violation
423,423,3,20,4,3,85.567,seconds,No,Season Best
424,424,28,195,10,1,3121.822,seconds,Olympic Record,Oldest medalist
425,425,16,181,7,1,9015.661,seconds,No,Oldest medalist
426,426,17,20,3,1,162.158,points,No,-
427,427,25,29,6,4,14.396,goals,No,-
428,428,6,71,5,3,30.622,points,No,Record broken next day
429,429,25,30,7,1,1.211,sets,No,-
430,430,4,91,28,1,244.424,points,Olympic Record,Final Appearance
431,431,7,198,28,4,3.465,points,No,Personal Best
432,432,12,29,2,1,1.962,goals,No,First from country
433,433,36,199,20,1,941.553,seconds,No,Withdrew - injury
434,434,19,52,20,1,5.35,points,No,Equipment issue
435,435,29,82,18,1,3.054,goals,No,National Record
436,436,7,131,9,1,6.353,points,No,Equipment issue
437,437,15,105,6,1,198.826,kg,No,-
438,438,14,110,19,1,6085.546,seconds,No,First from country
439,439,14,57,2,1,252.575,points,No,Personal Best
440,440,33,117,4,1,1016.928,seconds,No,-
441,441,30,82,20,1,0.385,goals,No,Personal Best
442,442,14,72,19,1,4.52,ippon,No,-
443,443,8,32,19,1,97.904,metres,World Record,Oldest medalist
444,444,18,135,10,1,234.107,kg,No,Disqualified (false start)
445,445,2,200,3,1,125.373,metres,No,Photo-finish silver
446,446,11,32,11,4,104.775,metres,No,Withdrew - injury
447,447,32,76,7,1,10.099,goals,No,-
448,448,6,185,1,1,3.7,points,No,Season Best
449,449,12,90,3,1,4.957,points,No,-
450,450,14,201,3,1,458.623,kg,No,Olympic Debut
451,451,36,202,28,4,6942.774,seconds,No,-
452,452,16,6,25,4,19.626,points,No,-
453,453,9,195,9,1,262.545,points,No,-
454,454,39,42,21,1,113.804,seconds,No,-
455,455,19,196,27,1,578.396,points,No,-
456,456,14,203,10,1,219.916,points,No,Photo-finish silver
457,457,15,74,2,1,9.158,points,No,Final Appearance
458,458,16,32,16,3,1.116,ippon,No,Comeback after injury
459,459,30,197,15,1,58.74,points,No,-
460,460,28,145,15,1,6322.622,seconds,No,-
461,461,38,115,27,3,11.009,points,No,Youngest competitor
462,462,4,101,27,1,292.965,seconds,No,Photo-finish silver
463,463,5,204,3,4,41.524,seconds,No,Disqualified (false start)
464,464,1,128,20,2,2.711,sets,No,Photo-finish silver
465,465,1,185,18,2,2.063,points,No,Record broken next day
466,466,36,146,13,1,51.903,seconds,No,Equipment issue
467,467,15,166,10,3,419.588,points,No,National Record
468,468,34,172,28,2,1637.268,seconds,No,Photo-finish silver
469,469,14,109,12,4,583.026,points,No,Final Appearance
470,470,3,197,16,1,53.946,points,No,-
471,471,4,128,10,1,3.118,sets,No,-
472,472,9,29,24,1,11.206,goals,No,-
473,473,10,119,11,1,12.687,points,No,-
474,474,4,57,13,1,285.463,points,No,-
475,475,16,131,3,1,7.754,points,No,Withdrew - injury
476,476,4,3,13,1,1.898,sets,Olympic Record,-
477,477,37,137,25,1,3111.008,seconds,No,First from country
478,478,25,4,10,1,4640.154,seconds,No,-
479,479,12,72,5,1,8.051,ippon,No,-
480,480,19,205,18,3,381.077,seconds,No,Season Best
481,481,5,206,23,1,5.704,points,No,-
482,482,27,63,2,1,338.391,seconds,No,Equipment issue
483,483,12,189,1,1,412.891,seconds,No,Comeback after injury
484,484,35,34,23,1,65.175,seconds,No,Record broken next day
485,485,6,4,11,1,5610.048,seconds,No,Weather-affected
486,486,10,110,12,1,6209.302,seconds,No,Final Appearance
487,487,12,44,24,1,22.111,points,No,Technical violation
488,488,25,14,11,1,8.758,touches,No,Personal Best
489,489,38,207,12,1,140.321,seconds,No,-
490,490,6,81,15,1,257.404,points,No,Withdrew - injury
491,491,4,208,16,1,112.306,seconds,World Record,Disqualified (false start)
492,492,20,82,27,1,3.591,goals,No,-
493,493,5,4,27,1,6426.911,seconds,No,-
494,494,7,3,23,1,4.964,sets,No,-
495,495,19,209,9,1,53.8,seconds,No,Equipment issue
496,496,18,194,3,1,391.751,seconds,Olympic Record,Final Appearance
497,497,24,190,15,1,94.252,seconds,No,Comeback after injury
498,498,2,2,12,4,101.728,metres,No,Personal Best
499,499,15,46,25,1,1.805,goals,No,Withdrew - injury
500,500,4,178,11,1,2.263,sets,No,-
501,501,20,210,10,1,552.19,seconds,No,-
502,502,4,3,3,1,1.92,sets,No,-
503,503,13,211,15,1,94.28,seconds,No,Final Appearance
504,504,18,4,8,3,5687.245,seconds,No,-
505,505,15,198,9,1,8.712,points,No,Record broken next day
506,506,14,110,16,1,4269.22,seconds,No,Disqualified (false start)
507,507,1,142,16,3,2.403,points,No,Personal Best
508,508,12,212,16,1,4.83,points,No,Record broken next day
509,509,14,150,13,1,1.925,points,No,Youngest competitor
510,510,1,41,23,4,9.069,points,No,National Record
511,511,22,143,20,1,2166.449,seconds,No,-
512,512,26,132,5,2,1056.878,seconds,No,Record broken next day
513,513,6,29,24,1,8.007,goals,No,Technical violation
514,514,3,3,11,1,212.883,points,No,Final Appearance
515,515,7,198,24,2,10.278,points,No,-
516,516,1,99,10,2,15.288,points,No,-
517,517,16,213,9,3,175.685,seconds,No,Youngest competitor
518,518,16,104,10,1,25.681,points,No,Comeback after injury
